[   5,   17,   10,   12,    6,    7,    9,    9,   10,    3]
[   0,    8,    6,    1,    4,   17,   13,   15,    7,   11]
[  12,   11,   18,   10,   16,   17,   14,   14,    9,   14]
[  12,    8,   10,   11,    9,    9,   13,   11,    7,   11]
[   8,   16,    5,    3,    9,   10,    4,   16,    3,    7]
[   2,    6,    7,   12,    6,    8,   13,   17,    8,   13]
[   9,    3,    5,    3,   12,   12,    3,   10,   12,    7]
[  10,   13,   12,   12,    7,   11,    6,   11,   11,    3]
[   2,    9,   11,    5,   12,    5,    8,    1,    4,    8]
[  12,   18,   10,   13,    8,   11,    7,   14,   10,    0]
