[  186,   254,   224,   147,   290,   236,   181,   337,   203,   242]
[  144,   150,   192,   128,   212,   149,   131,   251,   194,   114]
[  325,   377,   352,   242,   411,   272,   268,   464,   308,   253]
[  192,   217,   260,   140,   285,   222,   195,   291,   241,   207]
[  131,   235,   238,   146,   191,   170,   150,   275,   219,   133]
[  214,   232,   230,   160,   290,   158,   148,   295,   195,   143]
[  107,   182,   185,   116,   173,    90,   102,   173,   134,   111]
[  185,   260,   238,   174,   256,   233,   205,   340,   225,   234]
[  131,   184,   156,    90,   205,   178,   154,   239,   137,   148]
[  198,   284,   303,   195,   294,   242,   212,   358,   279,   257]
