[   0,   72,   16,   27,    8,   12,    0,   18,   21,    2]
[   0,    7,    8,    0,    3,   72,   40,   56,   12,   28]
[  32,   28,   81,    9,   64,   72,   48,   45,    8,   48]
[  27,   15,   16,   28,    8,   14,   36,   28,    6,   18]
[  15,   63,    6,    2,    8,   16,    0,   63,    0,   10]
[   0,    8,   12,   35,    8,   16,   42,   72,   15,   36]
[  18,    2,    6,    0,   32,   32,    0,   16,   35,   10]
[  24,   36,   32,   32,    6,   18,    5,   28,   18,    0]
[   0,   18,   28,    6,   35,    0,   12,    0,    3,   16]
[  35,   81,   24,   40,    7,   18,   10,   49,   21,    0]
